2017-05-04 20:16:00.799698,6,Regression Tesing,2017-05-01 10:00:00-04:00,2017-05-01 15:30:00-04:00,5:30:00,1
2017-05-04 20:16:00.800492,7,Standup Meeting,2017-05-01 10:00:00-04:00,2017-05-01 10:10:00-04:00,0:10:00,1
2017-05-04 20:16:00.801219,8,Sprint Planning,2017-05-01 10:30:00-04:00,2017-05-01 11:00:00-04:00,0:30:00,1
2017-05-04 20:16:00.801950,9,Call w/Subashini Sridhar,2017-05-01 11:30:00-04:00,2017-05-01 11:55:00-04:00,0:25:00,4
2017-05-04 20:16:00.802717,10,Short Call With Client,2017-05-01 12:30:00-04:00,2017-05-01 12:45:00-04:00,0:15:00,1
2017-05-04 20:16:00.803497,11,Business Lunch,2017-05-01 12:30:00-04:00,2017-05-01 13:30:00-04:00,1:00:00,1
2017-05-04 20:16:00.804188,12,UTSA to Lintz,2017-05-02 09:15:00-04:00,2017-05-02 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:00.804865,13,Standup Meeting,2017-05-02 10:00:00-04:00,2017-05-02 10:10:00-04:00,0:10:00,1
2017-05-04 20:16:00.805527,14,Sprint Planning,2017-05-02 10:30:00-04:00,2017-05-02 11:00:00-04:00,0:30:00,1
2017-05-04 20:16:00.806159,15,UTSA to Lintz,2017-05-03 09:15:00-04:00,2017-05-03 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:00.806850,16,Talk about Salesforce as a dev team,2017-05-03 11:00:00-04:00,2017-05-03 11:15:00-04:00,0:15:00,5
2017-05-04 20:16:00.807399,17,Prod deployment meeting,2017-05-04 09:15:00-04:00,2017-05-04 09:40:00-04:00,0:25:00,5
2017-05-04 20:16:00.807957,18,UTSA to Lintz,2017-05-04 09:15:00-04:00,2017-05-04 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:31.480810,1,On-Site Client Visit,2017-04-27 00:00:00,2017-05-01 00:00:00,"4 days, 0:00:00",1
2017-05-04 20:16:31.485431,2,Standup Meeting,2017-04-28 10:00:00-04:00,2017-04-28 10:10:00-04:00,0:10:00,1
2017-05-04 20:16:31.486743,3,Sprint Planning,2017-04-28 10:30:00-04:00,2017-04-28 11:00:00-04:00,0:30:00,1
2017-05-04 20:16:31.487920,4,Dev Show and Tell,2017-04-28 12:00:00-04:00,2017-04-28 13:00:00-04:00,1:00:00,1
2017-05-04 20:16:31.488896,5,UTSA to Lintz,2017-05-01 09:15:00-04:00,2017-05-01 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:31.489672,6,Regression Tesing,2017-05-01 10:00:00-04:00,2017-05-01 15:30:00-04:00,5:30:00,1
2017-05-04 20:16:31.490480,7,Standup Meeting,2017-05-01 10:00:00-04:00,2017-05-01 10:10:00-04:00,0:10:00,1
2017-05-04 20:16:31.491266,8,Sprint Planning,2017-05-01 10:30:00-04:00,2017-05-01 11:00:00-04:00,0:30:00,1
2017-05-04 20:16:31.492059,9,Call w/Subashini Sridhar,2017-05-01 11:30:00-04:00,2017-05-01 11:55:00-04:00,0:25:00,4
2017-05-04 20:16:31.492793,10,Short Call With Client,2017-05-01 12:30:00-04:00,2017-05-01 12:45:00-04:00,0:15:00,1
2017-05-04 20:16:31.493568,11,Business Lunch,2017-05-01 12:30:00-04:00,2017-05-01 13:30:00-04:00,1:00:00,1
2017-05-04 20:16:31.494437,12,UTSA to Lintz,2017-05-02 09:15:00-04:00,2017-05-02 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:31.495272,13,Standup Meeting,2017-05-02 10:00:00-04:00,2017-05-02 10:10:00-04:00,0:10:00,1
2017-05-04 20:16:31.496092,14,Sprint Planning,2017-05-02 10:30:00-04:00,2017-05-02 11:00:00-04:00,0:30:00,1
2017-05-04 20:16:31.496877,15,UTSA to Lintz,2017-05-03 09:15:00-04:00,2017-05-03 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:31.497727,16,Talk about Salesforce as a dev team,2017-05-03 11:00:00-04:00,2017-05-03 11:15:00-04:00,0:15:00,5
2017-05-04 20:16:31.498455,17,Prod deployment meeting,2017-05-04 09:15:00-04:00,2017-05-04 09:40:00-04:00,0:25:00,5
2017-05-04 20:16:31.499177,18,UTSA to Lintz,2017-05-04 09:15:00-04:00,2017-05-04 09:20:00-04:00,0:05:00,1
2017-05-04 20:17:50.160525,1,On-Site Client Visit,2017-04-27 00:00:00,2017-05-01 00:00:00,"4 days, 0:00:00",1
2017-05-04 20:17:50.164554,2,Standup Meeting,2017-04-28 10:00:00-04:00,2017-04-28 10:10:00-04:00,0:10:00,1
2017-05-04 20:17:50.165559,3,Sprint Planning,2017-04-28 10:30:00-04:00,2017-04-28 11:00:00-04:00,0:30:00,1
2017-05-04 20:17:50.166377,4,Dev Show and Tell,2017-04-28 12:00:00-04:00,2017-04-28 13:00:00-04:00,1:00:00,1
2017-05-04 20:17:50.167196,5,UTSA to Lintz,2017-05-01 09:15:00-04:00,2017-05-01 09:20:00-04:00,0:05:00,1
2017-05-04 20:17:50.168080,6,Regression Tesing,2017-05-01 10:00:00-04:00,2017-05-01 15:30:00-04:00,5:30:00,1
2017-05-04 20:17:50.168909,7,Standup Meeting,2017-05-01 10:00:00-04:00,2017-05-01 10:10:00-04:00,0:10:00,1
2017-05-04 20:17:50.169712,8,Sprint Planning,2017-05-01 10:30:00-04:00,2017-05-01 11:00:00-04:00,0:30:00,1
2017-05-04 20:17:50.170494,9,Call w/Subashini Sridhar,2017-05-01 11:30:00-04:00,2017-05-01 11:55:00-04:00,0:25:00,4
2017-05-04 20:17:50.171272,10,Short Call With Client,2017-05-01 12:30:00-04:00,2017-05-01 12:45:00-04:00,0:15:00,1
2017-05-04 20:17:50.171990,11,Business Lunch,2017-05-01 12:30:00-04:00,2017-05-01 13:30:00-04:00,1:00:00,1
2017-05-04 20:17:50.172718,12,UTSA to Lintz,2017-05-02 09:15:00-04:00,2017-05-02 09:20:00-04:00,0:05:00,1
2017-05-04 20:17:50.173361,13,Standup Meeting,2017-05-02 10:00:00-04:00,2017-05-02 10:10:00-04:00,0:10:00,1
2017-05-04 20:17:50.173908,14,Sprint Planning,2017-05-02 10:30:00-04:00,2017-05-02 11:00:00-04:00,0:30:00,1
2017-05-04 20:17:50.174471,15,UTSA to Lintz,2017-05-03 09:15:00-04:00,2017-05-03 09:20:00-04:00,0:05:00,1
2017-05-04 20:17:50.175027,16,Talk about Salesforce as a dev team,2017-05-03 11:00:00-04:00,2017-05-03 11:15:00-04:00,0:15:00,5
2017-05-04 20:17:50.175597,17,Prod deployment meeting,2017-05-04 09:15:00-04:00,2017-05-04 09:40:00-04:00,0:25:00,5
2017-05-04 20:17:50.176136,18,UTSA to Lintz,2017-05-04 09:15:00-04:00,2017-05-04 09:20:00-04:00,0:05:00,1
